,Book-Title,total_ratings,sum_weighted_ratings,weighted_avg_rating
16808,"Blood of the Fold (Sword of Truth, Book 3)",47,205,4.361702127659575
17002,Blue Moon (Anita Blake Vampire Hunter),42,183,4.357142857142857
19477,By the Shores of Silver Lake (Little House),42,183,4.357142857142857
110300,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,283,1233,4.3568904593639575
14325,Belgarath the Sorcerer,31,135,4.354838709677419
87087,On Writing,137,596,4.350364963503649
21327,Cat in the Hat (I Can Read It All by Myself Beginner Books),23,100,4.3478260869565215
138043,The Three Musketeers (Bantam Classics),23,100,4.3478260869565215
58774,Il Piccolo Principe,23,100,4.3478260869565215
133365,The Protector,26,113,4.346153846153846
4364,A Short Guide to a Happy Life,78,339,4.346153846153846
40152,Esperanza Rising,29,126,4.344827586206897
155273,With a Tangled Skein (Incarnations of Immortality (Paperback)),35,152,4.3428571428571425
122084,"The Ersatz Elevator (A Series of Unfortunate Events, Book 6)",35,152,4.3428571428571425
61027,Io Non Ho Paura,41,178,4.341463414634147
133967,The Red Tent (Bestselling Backlist),723,3134,4.334716459197787
95237,R is for Ricochet,27,117,4.333333333333333
93918,Prisoner of My Desire,30,130,4.333333333333333
105734,Slaughterhouse-Five,21,91,4.333333333333333
55917,Hotel of the Saints,21,91,4.333333333333333
122214,The Evolution of Jane,30,130,4.333333333333333
106023,Small Gods (Discworld Novels (Paperback)),45,195,4.333333333333333
14286,Being a Green Mother (Incarnations of Immortality (Paperback)),33,143,4.333333333333333
128000,The Lion's Lady,21,91,4.333333333333333
40563,Every Living Thing,63,273,4.333333333333333
17987,Brave New World,226,979,4.331858407079646
156671,Year of Wonders,169,732,4.331360946745562
125455,The Hitchhiker's Guide to the Galaxy,268,1160,4.3283582089552235
26080,Coraline,183,792,4.327868852459017
20441,Candide (Penguin Classics),53,229,4.320754716981132
129392,The Masterharper of Pern (Dragonriders of Pern (Paperback)),25,108,4.32
117022,The Book of Questions,69,298,4.318840579710145
9410,And I Don't Want to Live This Life,22,95,4.318181818181818
104216,Shining,22,95,4.318181818181818
53512,"Hello, Darkness",54,233,4.314814814814815
77385,Memoirs of a Geisha Uk,163,703,4.3128834355828225
5470,A confederacy of dunces,32,138,4.3125
108841,Stargirl,112,483,4.3125
48502,Gift from the Sea,58,250,4.310344827586207
28975,Dark Desire (Paranormal Romance),29,125,4.310344827586207
10890,"Arrows of the Queen ( The Heralds of Valdemar, Book 1)",29,125,4.310344827586207
87106,"On a Pale Horse (Incarnations of Immortality, Bk. 1)",52,224,4.3076923076923075
104963,Silver on the Tree,26,112,4.3076923076923075
20527,Canticle for Leibowitz,26,112,4.3076923076923075
9454,And Then There Were None,91,392,4.3076923076923075
5402,A Wrinkle in Time,192,827,4.307291666666667
133348,The Prophet,49,211,4.3061224489795915
139571,The Voyage of the Narwhal,23,99,4.304347826086956
2967,A Kiss of Shadows (Meredith Gentry Novels (Hardcover)),23,99,4.304347826086956
114992,The Archivist,23,99,4.304347826086956
78182,Midnight In the Garden of Good and Evil,33,142,4.303030303030303
20929,Carrie,140,602,4.3
91947,Plain Truth,109,468,4.293577981651376
95855,Random Acts of Kindness,41,176,4.2926829268292686
148522,Up the Down Staircase,24,103,4.291666666666667
134202,The Revenge Of The Baby-Sat,24,103,4.291666666666667
137662,The Tao of Pooh,211,905,4.289099526066351
105618,Skinny Legs and All,59,253,4.288135593220339
134717,The Ruby in the Smoke,28,120,4.285714285714286
74330,Made in America,21,90,4.285714285714286
142664,These Happy Golden Years (Little House),28,120,4.285714285714286
65228,Knight Life,21,90,4.285714285714286
133674,The Ragamuffin Gospel,21,90,4.285714285714286
74145,Macbeth,53,227,4.283018867924528
149737,Visions of Sugar Plums,99,424,4.282828282828283
139417,"The Vile Village (A Series of Unfortunate Events, Book 7)",39,167,4.282051282051282
72881,Love Story,32,137,4.28125
30233,Dead Eyes,32,137,4.28125
72479,Lost Light,86,368,4.27906976744186
84406,Night Mare (Xanth Novels (Paperback)),29,124,4.275862068965517
9781,Animal Farm,233,996,4.274678111587983
91556,Picture of Dorian Gray,51,218,4.2745098039215685
60713,Into the Wild,252,1077,4.273809523809524
55053,Holes (Yearling Newbery),154,658,4.2727272727272725
16928,Blue Adept (Apprentice Adept (Paperback)),22,94,4.2727272727272725
17525,Bookends,37,158,4.27027027027027
36690,"Dude, Where's My Country?",178,760,4.269662921348314
38101,El Camino (Coleccion Destinolibro),26,111,4.269230769230769
45856,Frankenstein (Wordsworth Classics),30,128,4.266666666666667
129065,The Mammy,45,192,4.266666666666667
71435,Lolita (Vintage International),98,418,4.26530612244898
16871,Bloody Bones (Anita Blake Vampire Hunter (Paperback)),83,354,4.265060240963855
8559,American Fuji,34,145,4.264705882352941
41630,Fahrenheit 451,409,1744,4.264058679706602
134815,The SECRET BOOK OF GRAZIA DEI ROSSI,23,98,4.260869565217392
143375,Three Musketeers (Wordsworth Classics),23,98,4.260869565217392
8090,Along Came a Spider,23,98,4.260869565217392
126724,The Jungle (Bantam Classics),50,213,4.26
30400,Deadeye Dick,27,115,4.2592592592592595
46996,GARDEN OF EDEN,27,115,4.2592592592592595
93613,Pride and Prejudice (Dover Thrift Editions),35,149,4.257142857142857
79534,Mondscheintarif,28,119,4.25
123497,The GREAT GATSBY (A Scribner Classic),28,119,4.25
29032,Dark Legend,24,102,4.25
49637,Good Omens,168,713,4.244047619047619
143869,Time Enough for Love,33,140,4.242424242424242
29071,Dark Prince,34,144,4.235294117647059
93820,"Princess in Love (The Princess Diaries, Vol. 3)",34,144,4.235294117647059
103334,"Seventh Son (Tales of Alvin Maker, Book 1)",34,144,4.235294117647059
84776,Nine Stories,73,309,4.232876712328767
38011,Einstein's Dreams,108,457,4.231481481481482
