,ISBN,Book-Title,total_ratings,sum_weighted_ratings,weighted_avg_rating
7245,0064471101,The Magician's Nephew (rack) (Narnia),67,323,4.82089552238806
54583,0399145923,Carolina Moon,39,188,4.82051282051282
181853,880781210X,iI Paradiso Degli Orchi,27,130,4.814814814814815
150549,1400032717,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),91,438,4.813186813186813
133883,0836218620,Weirdos From Another Planet!,48,231,4.8125
126542,0811825558,The Worst-Case Scenario Survival Handbook,64,308,4.8125
135456,0843944463,Mine to Take (Futuristic Romance),21,101,4.809523809523809
968,0020199600,GREAT GATSBY (REISSUE),42,202,4.809523809523809
82554,0553109588,More Letters from a Nut,26,125,4.8076923076923075
72490,0451187849,We the Living,26,125,4.8076923076923075
108554,0689711816,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,26,125,4.8076923076923075
54760,0399149821,Dirty Work,31,149,4.806451612903226
133844,0836217241,The Far Side Gallery 4,31,149,4.806451612903226
95978,0670835382,Four Past Midnight,45,216,4.8
11535,0140296409,Disgrace,38,182,4.7894736842105265
13778,014131088X,Speak,70,335,4.785714285714286
29052,0345379330,"Mostly Harmless (Hitchhiker's Trilogy, No 5)",28,134,4.785714285714286
43355,037541309X,Balzac and the Little Chinese Seamstress,74,354,4.783783783783784
6638,0064400557,Charlotte's Web (Trophy Newbery),129,617,4.782945736434108
63367,044100069X,Deerskin,32,153,4.78125
2744,0060175966,The Professor and the Madman,58,277,4.775862068965517
124758,0805062971,Fight Club,89,425,4.775280898876405
25590,0330487612,Bridget Jones' Diary (Film Tie-in),22,105,4.7727272727272725
105293,0679767800,The Stars My Destination,22,105,4.7727272727272725
108833,0689817851,Go Ask Alice,87,415,4.7701149425287355
29456,0345404475,Do Androids Dream of Electric Sheep?,39,186,4.769230769230769
118541,0765345048,Kushiel's Chosen (Kushiel's Legacy),26,124,4.769230769230769
4816,0060976241,The Lone Ranger and Tonto Fistfight in Heaven,43,205,4.767441860465116
62339,0440407524,Shiloh (Yearling Newbery),38,181,4.7631578947368425
45814,0380729407,Something Wicked This Way Comes,21,100,4.761904761904762
112943,0743227441,The Other Boleyn Girl,156,742,4.756410256410256
12309,0140386335,The Neverending Story,41,195,4.7560975609756095
12460,0140430725,"Pride and Prejudice (The Penguin English Library, El 72)",61,290,4.754098360655738
95665,0670272663,Different Seasons,24,114,4.75
167402,193156146X,The Time Traveler's Wife,48,228,4.75
54183,0399134204,Joy Luck Club,24,114,4.75
133890,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,36,171,4.75
50031,0385507607,The Probable Future,36,171,4.75
133871,0836218256,Something Under the Bed Is Drooling,32,152,4.75
30148,034544356X,"Seduced By Moonlight (Hamilton, Laurell K)",24,114,4.75
171838,3404148665,Illuminati.,59,280,4.745762711864407
165302,1880418568,"Wolves of the Calla (The Dark Tower, Book 5)",43,204,4.744186046511628
121391,0786866020,Fish! A Remarkable Way to Boost Morale and Improve Results,35,166,4.742857142857143
66783,0446601977,Parable of the Sower,35,166,4.742857142857143
112718,0740723367,The Meaning Of Life,50,237,4.74
89118,0553802526,The Killing Hour,23,109,4.739130434782608
127560,0812533666,Isle of Woman (Geodyssey),23,109,4.739130434782608
113673,0743457536,I Do (But I Don't),23,109,4.739130434782608
75581,0452285186,The Book of Bunny Suicides,23,109,4.739130434782608
58884,0439064872,Harry Potter and the Chamber of Secrets (Book 2),351,1660,4.72934472934473
50830,0394404289,The Prophet,40,189,4.725
6766,0064405052,The Magician's Nephew (Narnia),29,137,4.724137931034483
172999,3442092981,Felidae. Roman.,36,170,4.722222222222222
75436,0452279178,"Wizard and Glass (The Dark Tower, Book 4)",61,288,4.721311475409836
23628,0312977026,K-Pax,32,151,4.71875
11636,0140309578,Pippi Longstocking (Seafarer Book),21,99,4.714285714285714
170199,2290302155,Debout les morts,21,99,4.714285714285714
15265,015668568X,"Old Possum's Book of Practical Cats, Illustrated Edition",28,132,4.714285714285714
181547,8495501090,El ocho,21,99,4.714285714285714
43128,0375400117,Memoirs of a Geisha,83,391,4.710843373493976
24076,0316107298,Billy and the Boingers Bootleg (Bloom County Book),24,113,4.708333333333333
43328,0375411550,The Bluest Eye,44,207,4.704545454545454
133805,0836210263,Still Pumped From Using The Mouse,30,141,4.7
4535,0060935464,To Kill a Mockingbird,50,235,4.7
62077,0440343194,Illusions,56,263,4.696428571428571
20268,031208188X,Every Living Thing,23,108,4.695652173913044
74813,0451526341,Animal Farm,164,770,4.695121951219512
115169,0749309423,The Silence of the Lambs,36,169,4.694444444444445
112980,0743237196,Fall on Your Knees,36,169,4.694444444444445
59499,043936213X,Harry Potter and the Sorcerer's Stone (Book 1),104,488,4.6923076923076925
7240,0064471047,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",78,366,4.6923076923076925
29749,0345422783,How Reading Changed My Life (Library of Contemporary Thought),25,117,4.68
71804,0451160959,Stand,25,117,4.68
59441,0439324599,Cut,25,117,4.68
68331,044900483X,Children of God (Ballantine Readers Circle),25,117,4.68
7242,0064471071,The Voyage of the Dawn Treader (rack) (Narnia),28,131,4.678571428571429
80131,0517703963,Midwives,28,131,4.678571428571429
96198,0670868361,Desperation,65,304,4.676923076923077
113365,0743424425,The Shining,46,215,4.673913043478261
79737,0517542099,The Hitchhiker's Guide to the Galaxy,21,98,4.666666666666667
49316,0385332963,Leap of Faith,27,126,4.666666666666667
101968,0671741926,The Mote in God's Eye,24,112,4.666666666666667
24607,0316769509,Nine Stories,62,289,4.661290322580645
113001,0743247612,The Funny Thing Is...,32,149,4.65625
50042,0385510438,The Last Juror,113,526,4.654867256637168
50026,0385504209,The Da Vinci Code,883,4108,4.652321630804077
164946,1875989218,He Died with a Felafel in His Hand,23,107,4.6521739130434785
133884,0836218655,Wiener Dog Art,40,186,4.65
52121,0394758285,The Big Sleep,40,186,4.65
144408,0894809946,What to Expect the Toddler Years,28,130,4.642857142857143
88833,0553582895,Dark Rivers of the Heart,22,102,4.636363636363637
24605,0316769487,The Catcher in the Rye,403,1868,4.635235732009925
133906,0836220730,It Came From The Far Side,30,139,4.633333333333334
61260,0440215625,Dragonfly in Amber,128,593,4.6328125
2696,006017143X,The Night Listener,27,125,4.62962962962963
116351,0753804700,Reader,48,222,4.625
74646,0451523415,Little Women (Signet Classic),24,111,4.625
12052,0140366784,Jane Eyre (Puffin Classics),24,111,4.625
13255,0140620338,Picture of Dorian Gray,45,208,4.622222222222222
118324,0765303817,The Onion Girl (Newford),21,97,4.619047619047619
24206,0316143464,Dress Your Family in Corduroy and Denim,42,194,4.619047619047619
43570,0375507493,What Should I Do with My Life?,34,157,4.617647058823529
57773,0425173755,Murder on the Orient Express (Hercule Poirot Mysteries (Paperback)),34,157,4.617647058823529
54581,0399145885,Atlantis Found (Dirk Pitt Adventures (Hardcover)),39,180,4.615384615384615
62636,0440431808,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,26,120,4.615384615384615
64699,0441790348,Stranger in a Strange Land (Remembering Tomorrow),130,600,4.615384615384615
74748,0451524934,1984,192,886,4.614583333333333
86242,055329024X,Earth,31,143,4.612903225806452
64126,0441172717,Dune (Remembering Tomorrow),146,673,4.609589041095891
6486,0062515845,The Invitation,23,106,4.608695652173913
135760,0843949945,Dark Guardian,28,129,4.607142857142857
107007,0684856093,The 7 Habits Of Highly Effective Teens,33,152,4.606060606060606
95839,0670813028,It,43,198,4.604651162790698
56127,042507160X,Dune (Dune Chronicles (Berkley Paperback)),25,115,4.6
181905,8817106259,Seta,25,115,4.6
173473,344244392X,Das Tagebuch Der Bridget Jones,25,115,4.6
108953,0689824750,Among the Hidden,30,138,4.6
11786,0140328696,Charlie and the Chocolate Factory,37,170,4.594594594594595
9294,0140046569,Changing Places,27,124,4.592592592592593
29570,034541215X,Bimbos of the Death Sun,22,101,4.590909090909091
71716,0451157443,Carrie,39,179,4.589743589743589
74822,0451526554,Jane Eyre (Signet Classics (Paperback)),29,133,4.586206896551724
43710,0375705171,Trans-Sister Radio (Vintage Contemporaries (Paperback)),36,165,4.583333333333333
53624,039575514X,My Antonia,26,119,4.576923076923077
58349,0425192032,Lightning,33,151,4.575757575757576
61988,0440241006,Persuader,21,96,4.571428571428571
162196,184195425X,Life of Pi,21,96,4.571428571428571
181550,8495501198,Memorias de una geisha,28,128,4.571428571428571
45900,0380732181,An Underachiever's Diary,21,96,4.571428571428571
50108,0385729332,The Sisterhood of the Traveling Pants,73,333,4.561643835616438
2368,0060085452,Boy Meets Girl,41,187,4.560975609756097
139913,0877733759,Writing Down the Bones,50,228,4.56
102281,0671776134,Plain Truth,84,383,4.559523809523809
4473,0060929871,Brave New World,119,542,4.554621848739496
106436,0684801523,The Great Gatsby,179,815,4.553072625698324
86857,0553379011,The Story of B,29,132,4.551724137931035
5693,0061059072,The Last Continent (Discworld Novels (Paperback)),29,132,4.551724137931035
62829,0440498058,A Wrinkle In Time,158,719,4.550632911392405
14001,0142004235,East of Eden (Oprah's Book Club),131,596,4.549618320610687
4595,0060955775,Veronika Decides to Die,42,191,4.5476190476190474
97418,0671039725,Carrie,42,191,4.5476190476190474
74642,0451523377,Dracula (Signet Classics (Paperback)),53,241,4.547169811320755
138417,087113795X,Peace Like a River,44,200,4.545454545454546
67240,0446611638,Lost Light,57,259,4.543859649122807
42975,0374480095,Tuck Everlasting,46,209,4.543478260869565
121429,0786868716,The Five People You Meet in Heaven,427,1940,4.543325526932084
666,0006550576,Red Leaves,24,109,4.541666666666667
99139,0671532642,RESTAURNT END UNIV (Hitchhiker's Trilogy (Paperback)),24,109,4.541666666666667
118639,0767903854,In a Sunburned Country,37,168,4.54054054054054
104223,0679432477,Empire Falls,68,308,4.529411764705882
10735,0140186409,The Grapes of Wrath (20th Century Classics),42,190,4.523809523809524
6176,0061092193,Men at Arms,23,104,4.521739130434782
95846,067081458X,The Eyes of the Dragon,31,140,4.516129032258065
84973,0553258524,Dragonsong (Harper Hall Trilogy),31,140,4.516129032258065
63379,0441000916,The Laughing Corpse (Anita Blake Vampire Hunter (Paperback)),64,289,4.515625
11851,0140345353,The Devil's Arithmetic,37,167,4.513513513513513
83721,055321330X,The Awakening,43,194,4.511627906976744
144381,0894805770,What to Expect the First Year,94,424,4.51063829787234
28248,0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",257,1158,4.505836575875486
47916,0380977788,Coraline,115,518,4.504347826086956
95842,0670813648,Misery,50,225,4.5
62802,0440487617,A Wind in the Door,56,252,4.5
89648,0571197639,Poisonwood Bible Edition Uk,26,117,4.5
171404,3257229534,Der Vorleser,56,252,4.5
54763,0399149864,Pattern Recognition,26,117,4.5
112998,0743245520,"Hello, Darkness",44,198,4.5
14314,0151008116,Life of Pi,170,765,4.5
13248,0140620222,Pride and Prejudice (Penguin Popular Classics),54,243,4.5
21188,0312265840,Seven Up (A Stephanie Plum Novel),75,337,4.493333333333333
6146,006109157X,Dead Eyes,29,130,4.482758620689655
86359,055329315X,Reckless,29,130,4.482758620689655
128438,0812589041,Ender's Game,25,112,4.48
63540,0441005241,"Burnt Offerings (Anita Blake, Vampire Hunter)",46,206,4.478260869565218
57774,0425173895,The Murder of Roger Ackroyd (Hercule Poirot Mysteries (Paperback)),23,103,4.478260869565218
13272,0140620664,Mansfield Park (Penguin Popular Classics),21,94,4.476190476190476
77359,0505523728,Dark Prince,21,94,4.476190476190476
28787,034536676X,The World According to Garp,108,483,4.472222222222222
78952,051513449X,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),36,161,4.472222222222222
27422,0345305183,On a Pale Horse,28,125,4.464285714285714
74270,0451457811,"Storm Front (The Dresden Files, Book 1)",39,174,4.461538461538462
108037,068816112X,Replay,26,116,4.461538461538462
72385,0451183940,Different Seasons,26,116,4.461538461538462
12302,014038572X,The Outsiders (Now in Speak!),89,397,4.46067415730337
78903,0515133310,Echo Burning (Jack Reacher Novels (Paperback)),24,107,4.458333333333333
104905,0679732764,Invisible Man,48,214,4.458333333333333
150525,1400030927,Jennifer Government,33,147,4.454545454545454
78954,0515134503,Obsidian Butterfly (Anita Blake Vampire Hunter (Paperback)),22,98,4.454545454545454
41770,0373802021,The Fairy Godmother,22,98,4.454545454545454
78949,0515134465,Bloody Bones (Anita Blake Vampire Hunter (Paperback)),29,129,4.448275862068965
4843,0060977337,Downsize This! Random Threats from an Unarmed American,38,169,4.447368421052632
13658,0141301155,Charlie and the Chocolate Factory (Puffin Novels),45,200,4.444444444444445
58799,0439010772,The Ruby in the Smoke,27,120,4.444444444444445
20922,0312203039,High Five (A Stephanie Plum Novel),27,120,4.444444444444445
30297,0345452593,Therapy,25,111,4.44
65983,0446365386,Gone with the Wind,85,377,4.435294117647059
159285,1576738167,Redeeming Love,23,102,4.434782608695652
10584,0140176616,Asta's Book,23,102,4.434782608695652
94487,0595256368,Rhaeva,23,102,4.434782608695652
135731,084394952X,Dark Legend,23,102,4.434782608695652
64505,044166251X,"Phule's Company (Phule's Company, No 1)",30,133,4.433333333333334
133920,0836221311,Last Chapter and Worse,30,133,4.433333333333334
133902,0836220625,Far Side Gallery,30,133,4.433333333333334
105075,0679744479,Written on the Body,28,124,4.428571428571429
73959,0451411137,Men in Kilts,21,93,4.428571428571429
179708,8433969978,El Libro de Las Ilusiones,21,93,4.428571428571429
43340,0375411992,Blackwood Farm (The Vampire Chronicles),33,146,4.424242424242424
24623,0316777730,Naked,124,548,4.419354838709677
94777,0609606727,Julie and Romeo,24,106,4.416666666666667
6914,0064409422,"The Lion, the Witch and the Wardrobe (Full-Color Collector's Edition)",36,159,4.416666666666667
69278,0449208281,The Unexpected Mrs. Pollifax,24,106,4.416666666666667
162839,1853260169,Sense and Sensibility (Wordsworth Classics),24,106,4.416666666666667
20147,0312050631,Confessions of a Failed Southern Lady,34,150,4.411764705882353
97249,0671032992,Heartbreaker,34,150,4.411764705882353
85592,0553274295,Where the Red Fern Grows,112,494,4.410714285714286
118687,0767913795,Who's Looking Out for You?,22,97,4.409090909090909
9250,0140042407,Tortilla Flat,22,97,4.409090909090909
48856,0385285965,Legends of the Fall,22,97,4.409090909090909
95754,0670691992,Talisman,22,97,4.409090909090909
28315,0345342968,Fahrenheit 451,321,1415,4.40809968847352
959,0020198817,The GREAT GATSBY (A Scribner Classic),27,119,4.407407407407407
81325,0525946284,Jackdaws,30,132,4.4
63228,0440945151,Killing Mr. Griffin (Laurel Leaf Books),25,110,4.4
86870,0553379658,My Ishmael,23,101,4.391304347826087
67561,0446692298,Fat Girls and Lawn Chairs,31,136,4.387096774193548
171565,3379015180,Schlafes Bruder,39,171,4.384615384615385
107026,0684859718,Deadly Decisions,34,149,4.382352941176471
94990,0613329740,Quidditch Through the Ages,21,92,4.380952380952381
6858,0064407691,"The Miserable Mill (A Series of Unfortunate Events, Book 4)",42,184,4.380952380952381
83690,0553212923,Hamlet (Bantam Classics),21,92,4.380952380952381
21507,0312306326,Visions of Sugar Plums,95,416,4.378947368421053
83482,0553208845,Siddhartha,101,442,4.376237623762377
99009,0671524313,The Girlfriends' Guide to Pregnancy,35,153,4.371428571428571
86370,0553293354,Foundation (Foundation Novels (Paperback)),46,201,4.369565217391305
96119,0670855030,Insomnia,57,249,4.368421052631579
27547,0345310020,Chronicle of a Death Foretold,30,131,4.366666666666666
133911,0836220854,Far Side Gallery 2,30,131,4.366666666666666
75176,0452262933,1984,22,96,4.363636363636363
133837,0836217012,Cows Of Our Planet (Far Side Series),33,144,4.363636363636363
84673,0553250531,The Valley of Horses,130,567,4.361538461538461
75477,0452281202,The Evolution of Jane,25,109,4.36
63567,0441005748,Blue Moon (Anita Blake Vampire Hunter),42,183,4.357142857142857
