,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
129,0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group
133,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial
136,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
137,0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books
145,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books
148,0380778556,Rebecca,Daphne Du Maurier,1994,Avon
153,0505524996,Contact,Susan Grant,2002,Love Spell
157,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books
161,0446527165,Wish You Well,David Baldacci,2000,Warner Books
162,0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket
165,0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book
166,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
175,0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra
179,3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc
202,0060977493,The God of Small Things,Arundhati Roy,1998,Perennial
205,0316693006,Four Blind Mice,James Patterson,2002,"Little, Brown"
206,0345311396,Private Screening,Richard North Patterson,1994,Ballantine Books
207,0345378490,Congo,Michael Crichton,1995,Ballantine Books
208,0345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books
210,0375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf
211,0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage
212,0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon
213,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon
217,0385316895,Legacy of Silence,Belva Plain,1998,Bantam Dell Pub Group
218,0385497466,The Brethren,JOHN GRISHAM,2000,Doubleday
219,0385508042,The King of Torts,John Grisham,2003,Doubleday Books
221,0385511612,Bleachers,John Grisham,2003,Doubleday
222,0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers
225,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
226,0446610399,The Rescue,Nicholas Sparks,2001,Warner Books
227,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
228,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books
229,0451162072,Pet Sematary,Stephen King,1994,Signet Book
231,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
233,0553580388,The Patient,Michael Palmer,2001,Bantam Books
236,0671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket
237,0671027387,Deception Point,Dan Brown,2002,Pocket
243,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor
244,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications
246,0151008116,Life of Pi,Yann Martel,2002,Harcourt
249,0804111359,Secret History,DONNA TARTT,1993,Ballantine Books
250,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
252,0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown"
272,0375814248,James and the Giant Peach,ROALD DAHL,2002,Knopf Books for Young Readers
273,0375823352,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2002,Knopf Books for Young Readers
274,037582345X,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002,Knopf Books for Young Readers
275,0375823468,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2002,Knopf Books for Young Readers
281,0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell
285,0451526341,Animal Farm,George Orwell,2004,Signet
287,0553280589,Eva Luna,Isabel Allende,1989,Bantam Books
292,0684833395,Catch 22,Joseph Heller,1996,Simon &amp; Schuster
302,0374270325,A Man in Full,Tom Wolfe,1998,Farrar Straus &amp; Giroux
305,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
311,0553278746,The Postman (Bantam Classics),David Brin,1990,Spectra Books
328,0812541642,Waiting,Frank M. Robinson,2000,Tor Books
337,0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial
338,1573228737,Affinity,Sarah Waters,2002,Riverhead Books
342,0425120279,The Hunt for Red October,Tom Clancy,1990,Berkley Publishing Group
354,0060188731,Bel Canto,Ann Patchett,2001,HarperCollins Publishers
355,0140374248,James and the Giant Peach,Roald Dahl,2000,Penguin USA (Paper)
356,0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books
361,0385416342,The Firm,John Grisham,1991,Doubleday Books
363,038542471X,The Client,John Grisham,1993,Doubleday Books
368,0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books
372,067103619X,Lake News,Barbara Delinsky,2000,Pocket
375,0743411269,An Accidental Woman,Barbara Delinsky,2003,Pocket Books
388,0156528207,The Little Prince,Antoine de Saint-Exup̩ry,1968,Harcourt
389,0380012863,Jonathan Livingston Seagull,Richard Bach,1976,Avon
401,0671867113,Moonlight Becomes You,Mary Higgins Clark,1997,Pocket
410,0440224675,Hannibal,Thomas Harris,2000,Dell Publishing Company
414,0553569058,The Robber Bride,Margaret Atwood,1995,Bantam
415,0679427430,Wouldn't Take Nothing for My Journey Now,MAYA ANGELOU,1993,Random House
453,0345335465,Dragonflight (Dragonriders of Pern Trilogy (Paperback)),Anne McCaffrey,1991,Del Rey Books
456,044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group
469,0553210092,The Scarlet Letter,NATHANIEL HAWTHORNE,1965,Bantam
473,055358099X,Cloud Nine,Luanne Rice,2000,Bantam Books
474,0316168815,The Lovely Bones,Alice Sebold,2004,Back Bay Books
477,0345424719,A Widow for One Year,JOHN IRVING,1999,Ballantine Books
479,0375726403,Empire Falls,Richard Russo,2002,Vintage Books USA
480,0385503857,Oryx and Crake,Margaret Atwood,2003,Nan A. Talese
482,0440226104,Black and Blue,ANNA QUINDLEN,1999,Dell
483,0452277337,Le Divorce (William Abrahams Book),Diane Johnson,1997,Plume Books
484,0553802488,The Face,DEAN KOONTZ,2003,Bantam
485,0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket
489,0553285343,"RUSSIA HOUSE, THE",JOHN LE CARRE,1990,Bantam
491,0671002481,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket
500,0380973545,Letters from a Nut,Ted L. Nancy,1999,William Morrow
504,0446610178,The Sky Is Falling,Sidney Sheldon,2001,Warner Books
516,0060915544,The Bean Trees,Barbara Kingsolver,1989,Perennial
519,0060932759,Daughter of Fortune,Isabel Allende,2000,Perennial
522,0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
525,0399137807,The Cat Who Wasn't There,Lilian Jackson Braun,1992,Putnam Pub Group
526,039914739X,Isle of Dogs,Patricia Daniels Cornwell,2001,Putnam Publishing Group
555,0380710218,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm)
556,0515118656,The Cove,Catherine Coulter,1996,Jove Books
558,0671000306,Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,1996,Pocket
559,0671673688,While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket
563,0156027321,Life of Pi,Yann Martel,2003,Harvest Books
565,0385721420,Three Junes,JULIA GLASS,2003,Anchor
566,0451202341,Back Roads,Tawni O'Dell,2001,Signet Book
568,0385335407,The Kiss,Danielle Steel,2001,Delacorte Press
574,0553272837,Brazen Virtue,Nora Roberts,1996,Bantam Books
577,0425181111,Strangers,Dean R. Koontz,2002,Berkley Publishing Group
581,0449907481,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books
582,0553107305,Chopping Spree,DIANE MOTT DAVIDSON,2002,Bantam
583,080213825X,Four Blondes,Candace Bushnell,2001,Grove Press
584,0515127833,River's End,Nora Roberts,2003,Jove Books
585,0345441133,Summer Island,KRISTIN HANNAH,2002,Ballantine Books
586,0515134279,The Straw Men,Michael Marshall,2002,Jove Books
588,0385490992,The Street Lawyer,John Grisham,1998,Doubleday Books
589,0385424728,The Chamber,John Grisham,1994,Doubleday Books
592,0385472951,The Partner,John Grisham,1997,Doubleday Books
594,0425182878,Chosen Prey,John Sandford,2004,Berkley Publishing Group
595,0553564528,Guilty as Sin,TAMI HOAG,1997,Bantam
596,055356451X,Night Sins,TAMI HOAG,1995,Bantam
604,042517736X,Abduction,Robin Cook,2000,Berkley Publishing Group
608,0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books
609,0345369947,The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books
617,0385306032,Vanished,Danielle Steel,1993,Delacorte Press
621,0553576925,Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books
645,0446394521,Daisy Fay and the Miracle Man,Fannie Flagg,1992,Warner Books
648,0553578693,The Next Accident,LISA GARDNER,2002,Bantam
652,0345413377,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2001,Del Rey
653,0345413369,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,1998,Del Rey
654,0679893105,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1998,Knopf Books for Young Readers
657,0451184718,The Rosewood Casket,Sharyn McCrumb,1997,Signet Book
666,0440122090,Echoes,Maeve Binchy,1989,Dell
669,0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
672,0679450432,Dark Lady,Richard North Patterson,1999,Alfred A. Knopf
674,0821770209,About Face,Fern Michaels,2003,Zebra Books
677,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
679,0425179672,The River King,Alice Hoffman,2001,Berkley Publishing Group
681,0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper)
698,0140185216,On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper)
703,0684801221,OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner
706,0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books
707,0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books
712,0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books
748,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
749,0446525502,The Rescue,Nicholas Sparks,2000,Warner Books
750,0385500769,A Map of the World,Jane Hamilton,1999,Doubleday Books
756,0425184129,Big Trouble,Dave Barry,2002,Berkley Publishing Group
757,0151001006,Snow Falling on Cedars,David Guterson,1994,Harcourt
758,0385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday
759,0679442790,The Reader,Bernhard Schlink,1997,Random House
761,0609605925,Angel Falls,KRISTIN HANNAH,2000,Crown
763,0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster
766,0743406176,If Only It Were True,Marc Levy,2000,Atria
770,0446523569,Message in a Bottle,Nicholas Sparks,1998,Warner Books
772,0679450440,Protect and Defend,Richard North Patterson,2000,Random House Inc
775,0446527793,The Guardian,Nicholas Sparks,2003,Warner Books
776,0446531332,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books
780,0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey
783,0399147128,The Villa,Nora Roberts,2001,Putnam Publishing Group
786,0316969443,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown"
788,0316693200,2nd Chance,James Patterson,2002,"Little, Brown"
800,0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
810,0349101779,The Wasp Factory,Iain Banks,0,Abacus
833,0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
835,0060934719,stardust,Neil Gaiman,2001,Perennial
850,0451181379,The Door to December,Dean R. Koontz,1994,Signet Book
860,0425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group
877,038529929X,Hannibal,Thomas Harris,1999,Del Sol Press
878,1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
881,0743211383,Dreamcatcher,Stephen King,2001,Scribner
886,0451205421,The Door to December,Dean R. Koontz,2002,Signet Book
888,0440218535,Smilla's Sense of Snow,Peter Hoeg,1997,Island
914,0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books
915,0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf
925,0451155750,The Dead Zone,Stephen King,2004,Signet Book
938,0451454243,The Forest House,Marion Zimmer Bradley,1995,Roc
945,039914563X,The Bear and the Dragon,Tom Clancy,2000,G. P. Putnam's Sons
946,0312853238,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,Tor Books
948,0425161722,Net Force,Tom Clancy,1999,Berkley Publishing Group
949,0385493800,The Testament,John Grisham,1999,Doubleday Books
953,0440211727,A Time to Kill,JOHN GRISHAM,1992,Dell
955,0380002450,Awakening,Kate Chopin,1982,Avon
958,0425134350,Patriot Games,Tom Clancy,1992,Berkley Publishing Group
962,044661162X,Chasing the Dime,Michael Connelly,2003,Warner Books
967,038533334X,Charming Billy,Alice McDermott,1999,Delta
973,0345404777,No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books
975,0440224829,Granny Dan,DANIELLE STEEL,2000,"Random House, Inc."
977,0515134368,The Penwyth Curse,Catherine Coulter,2004,Jove Books
993,0553212583,Wuthering Heights,EMILY BRONTE,1983,Bantam
994,0446364762,The Stars Shine Down,Sidney Sheldon,1993,Warner Books
995,0425166619,Toxin,Robin Cook,1999,Berkley Publishing Group
996,061312975X,This Present Darkness,Frank E. Peretti,1999,Sagebrush Bound
997,0765341972,The Mothman Prophecies,John A. Keel,2002,Tor Books
1004,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
1012,044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell
1016,0399143165,Toxin,Robin Cook,1998,Putnam Pub Group
1018,0425124347,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group
1024,0394820371,The Phantom Tollbooth,Norton Juster,1993,Yearling Books
1025,0449134482,Dances With Wolves,Michael Blake,1990,Fawcett Books
1043,0553568760,Natural Causes,Michael Palmer,1995,Bantam Books
1044,034538184X,Degree of Guilt,Richard North Patterson,1995,Ballantine Books
1049,0805062971,Fight Club,Chuck Palahniuk,1999,Owl Books
1050,0553211412,Wuthering Heights,Emily Bronte,1983,Bantam
1051,0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner
1054,0385334036,The Smoke Jumper,Nicholas Evans,2001,Delacorte Press
1055,0060914653,The Unbearable Lightness of Being,Milan Kundera,1988,Harpercollins
1056,0345347536,A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,1987,Del Rey Books
1057,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics
1072,0553586122,Reap the Wind,Iris Johansen,2002,Bantam Books
1073,0553584510,The Survivors Club,LISA GARDNER,2003,Bantam
1078,0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books
1086,0684801469,Farewell To Arms,Ernest Hemingway,1995,Scribner
1094,0671789422,Possessing the Secret of Joy,Alice Walker,1993,Pocket
1096,014016930X,Angle of Repose (Contemporary American Fiction),Wallace Stegner,1992,Penguin Books
1097,0140077022,White Noise (Contemporary American Fiction),Don DeLillo,1991,Penguin Books
1100,0553273914,The House of the Spirits,Isabel Allende,1986,Bantam Books
1102,039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co
1106,0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
1108,0684844729,STONES FROM THE RIVER,Ursula Hegi,1997,Simon &amp; Schuster
1111,038001503X,One Hundred Years of Solitude,Gabriel Garcia Marquez,1970,Avon Books
1115,0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell
1116,0316777730,Naked,David Sedaris,1998,Back Bay Books
1122,0140042393,The Grapes of Wrath,John Steinbeck,1976,Penguin USA
1129,0446601241,Kiss the Girls,James Patterson,1995,Warner Books
1130,0451124340,Different Seasons,Stephen King,1983,Penguin Putnam~mass
1131,0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books
1134,0679734775,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage
1150,0671027344,The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV
1159,0066211611,Portrait in Sepia,Isabel Allende,2001,HarperCollins Publishers
1175,0380789035,American Gods,Neil Gaiman,2002,HarperTorch
1178,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
1194,0440206154,Red Dragon,Thomas Harris,2000,Dell Publishing Company
1195,0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books
1201,0743457943,Trading Places,Fern Michaels,2003,Pocket Star
1202,0373484224,Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,Silhouette
1207,0380789019,Neverwhere,Neil Gaiman,1998,Avon
1209,0380018179,The Thorn Birds,Colleen McCullough,1978,Avon
1214,0679457313,The God of Small Things,Arundhati Roy,1997,Random House Inc
1216,0553571656,The Beekeeper's Apprentice,LAURIE R. KING,1996,Bantam
1220,0786866276,Mother of Pearl,Melinda Haynes,1999,Hyperion
1261,000649840X,Angelas Ashes,Frank Mccourt,0,Harpercollins Uk
1263,0099771519,Memoirs of a Geisha Uk,Arthur Golden,0,Trafalgar Square
1265,067102535X,"Last Dance, Last Chance (Ann Rule's Crime Files)",Ann Rule,2002,Pocket
1281,0385720920,Choke,CHUCK PALAHNIUK,2002,Anchor
1289,0140099832,Lake Wobegon Days,Garrison Keillor,1990,Penguin/Puffin Mass Market (Mm)
1297,0553052845,Rubyfruit Jungle,Rita Mae Brown,1988,Bantam Dell Pub Group
1299,0439404371,The Thief Lord,Cornelia Funke,2002,Scholastic
1309,0345331605,Dragonsdawn,Anne McCaffrey,1988,Ballantine Books
1319,0345285549,Elfstones of Shannara,Terry Brooks,1990,Del Rey Books
1320,0345290240,Sword of Shannara,Terry Brooks,1980,Ballantine Books
1323,067168390X,Lonesome Dove,Larry McMurtry,1988,Pocket
1324,0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta
1325,0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta
1326,0553258001,The Cider House Rules,John Irving,1986,Bantam Books
1335,0553582658,Summer Light,Luanne Rice,2002,Bantam Books
1337,0373218400,Table For Two,Nora Roberts,2002,Silhouette
1349,0826308791,The Education of Little Tree (A Zia Book),Forrest Carter,1986,University of New Mexico Press
1351,0345435249,Darwin's Radio,Greg Bear,2000,Ballantine Books
1352,0441003257,Good Omens,Neil Gaiman,1996,Ace Books
1355,0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision
1356,0671028375,Fatal Voyage,Kathy Reichs,2002,Pocket
1360,0671759361,Pearl in the Mist (Landry),V.C. Andrews,1994,Pocket
1362,0399146008,Shock,Robin Cook,2001,G. P. Putnam's Sons
1374,0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA
1376,0671038184,Jewel,Bret Lott,1999,Washington Square Press
1381,0552996009,Notes From a Small Planet,Bill Bryson,0,Bantam Doubleday Dell
1384,0590542443,"The Amber Spyglass (His Dark Materials, Book 3)",Philip Pullman,2000,Scholastic Press
1385,0590112899,"The Subtle Knife (His Dark Materials, Book 2)",Philip Pullman,1998,Scholastic Point
1386,0590660543,Northern Lights (His Dark Materials S.),Philip Pullman,1998,Scholastic Point
1387,0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books
1398,038531258X,Cold Sassy Tree,Olive Ann Burns,1986,Delta
1399,006092988X,A Tree Grows in Brooklyn,Betty Smith,1998,Perennial
1410,0786885688,Shopgirl,Steve Martin,2001,Hyperion
1411,0671880187,Kitchen,Banana Yoshimoto,1994,Washington Square Press
1420,037570504X,"Breath, Eyes, Memory",Edwidge Danticat,1998,Vintage Books USA
1423,0553377868,The Flanders Panel,ARTURO PEREZ-REVERTE,1996,Bantam
1428,1558744606,Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications
1429,080410753X,The Kitchen God's Wife,Amy Tan,1992,Ivy Books
1431,0345325818,The Silmarillion,J.R.R. TOLKIEN,1985,Del Rey
1433,014131088X,Speak,Laurie Halse Anderson,2001,Speak
1435,0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books
1451,0385508417,Skipping Christmas,JOHN GRISHAM,2002,Doubleday
1452,0385510438,The Last Juror,John Grisham,2004,Doubleday
1454,0380723638,Ill Wind (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon Books
1460,0385324057,Summer Sisters,Judy Blume,1998,Delacorte Press
1463,0425185710,Valhalla Rising (Dirk Pitt Adventures (Paperback)),Clive Cussler,2002,Berkley Publishing Group
1472,0671527215,Hitchhikers's Guide to the Galaxy,Douglas Adams,1984,Pocket
1482,0553377876,Half Asleep in Frog Pajamas,Tom Robbins,1995,Bantam
1484,014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books
1486,0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star
1488,0679772677,A Civil Action,JONATHAN HARR,1996,Vintage
1489,0312983824,Faking It,Jennifer Crusie,2003,St. Martin's Paperbacks
1490,0449149676,On Mystic Lake,Kristin Hannah,2000,Ballantine Books
1491,0449006344,Angel Falls,KRISTIN HANNAH,2001,Ballantine Books
1493,0451191153,The Fountainhead,Ayn Rand,1996,New American Library
1494,0440224624,The Loop,Nicholas Evans,1999,Dell Publishing Company
1496,0743418174,Good in Bed,Jennifer Weiner,2002,Washington Square Press
1499,0451187903,Sense and Sensibility,Jane Austen,1995,Signet Book
1501,0671036505,The Vineyard,Barbara Delinsky,2001,Pocket Books
1505,0671004565,We'll Meet Again,Mary Higgins Clark,2000,Pocket
1506,0345370805,How to Make an American Quilt,Whitney Otto,1992,Ballantine Books
1507,0375703055,Ellen Foster,Kaye Gibbons,1997,Vintage Books
1518,0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill
1525,0446611239,The Cabinet of Curiosities,Douglas Preston,2003,Warner Books
1534,0671032658,The Green Mile,Stephen King,1999,Pocket
1543,0380814021,The Princess Diaries,Meg Cabot,2001,HarperTrophy
1551,0061098795,The Wailing Wind,Tony Hillerman,2003,HarperTorch
1553,0375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA
1560,0452281784,Bad Heir Day,Wendy Holden,2001,Plume Books
1562,038533656X,Apocalipstick,SUE MARGOLIS,2003,Delta
1564,0345436911,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001,Ballantine Books
1565,0452284481,Le Divorce (William Abrahams Book),Diane Johnson,2003,Plume Books
1567,0440217520,Tunnel Vision (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1995,Dell
1571,0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey
1572,038039586X,Watership Down,Richard George Adams,1975,Harpercollins
1573,0670030643,The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,2002,Viking Books
1577,0440131480,Breakfast of Champions,Kurt Vonnegut,1991,Dell Publishing Company
1585,0440940001,Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,1978,Laure Leaf
1592,0425163385,The Night Crew,John Sandford,2004,Berkley Publishing Group
1596,0425157539,Sudden Prey,John Sandford,1997,Berkley Publishing Group
1598,0553585118,Once a Thief,Kay Hooper,2002,Bantam Books
1612,0679731148,A Year in Provence,Peter Mayle,1991,Vintage Books USA
1640,0380600129,The Indian in the Cupboard,Lynne Reid Banks,1999,HarperTrophy
1644,0316693324,When the Wind Blows,James Patterson,1998,Replica Books
1651,0743412273,Pet Sematary,Stephen King,2001,Pocket
1673,0449912558,The Sparrow,MARY DORIA RUSSELL,1997,Fawcett Books
1680,0440226430,Summer Sisters,Judy Blume,1999,Dell Publishing Company
1682,031231616X,I Capture the Castle,Dodie Smith,2003,St. Martin's Griffin
1684,089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,Workman Pub Co
1685,0767912233,Babyville,JANE GREEN,2003,Broadway
1690,0894805770,What to Expect the First Year,Arlene Eisenberg,1989,Workman Publishing
1702,0375707972,The Reader,Bernhard Schlink,1999,Vintage Books USA
1703,0618126988,The Silmarillion,J.R.R. Tolkien,2001,Houghton Mifflin
1711,0446310492,To Kill a Mockingbird,Harper Lee,1985,Warner Books
1713,0515090506,The Cat Who Played Brahms,Lilian Jackson Braun,1997,Jove Books
